iter	Passed	Remaining
731	2683	982
732	2687	978
733	2691	975
734	2695	971
735	2698	968
736	2702	964
737	2705	960
738	2709	956
739	2712	953
740	2715	949
741	2719	945
742	2722	941
743	2726	938
744	2730	934
745	2734	930
746	2738	927
747	2741	923
748	2744	919
749	2748	916
750	2752	912
751	2755	908
752	2758	904
753	2762	901
754	2765	897
755	2769	893
756	2773	890
757	2777	886
758	2781	883
759	2784	879
760	2788	875
761	2791	871
762	2794	868
763	2798	864
764	2801	860
765	2805	856
766	2808	853
767	2811	849
768	2816	845
769	2820	842
770	2824	838
771	2827	835
772	2831	831
773	2834	827
774	2838	824
775	2841	820
776	2845	816
777	2848	812
778	2852	809
779	2855	805
780	2859	801
781	2864	798
782	2867	794
783	2871	791
784	2874	787
785	2878	783
786	2881	779
787	2885	776
788	2888	772
789	2892	768
790	2895	765
791	2899	761
792	2903	757
793	2907	754
794	2910	750
795	2914	746
796	2917	743
797	2921	739
798	2924	735
799	2927	731
800	2931	728
801	2934	724
802	2938	720
803	2942	717
804	2945	713
805	2950	710
806	2953	706
807	2956	702
808	2960	698
809	2964	695
810	2967	691
811	2971	687
812	2974	684
813	2978	680
814	2981	676
815	2985	673
816	2989	669
817	2993	666
818	2997	662
819	3000	658
820	3004	654
821	3007	651
822	3011	647
823	3014	643
824	3018	640
825	3021	636
826	3025	632
827	3029	629
828	3032	625
829	3036	621
830	3039	618
831	3043	614
832	3047	610
833	3050	607
834	3053	603
835	3057	599
836	3060	596
837	3063	592
838	3067	588
839	3071	585
840	3076	581
841	3079	577
842	3083	574
843	3086	570
844	3089	566
845	3093	563
846	3096	559
847	3100	555
848	3103	552
849	3107	548
850	3111	544
851	3115	541
852	3119	537
853	3123	533
854	3126	530
855	3130	526
856	3133	522
857	3137	519
858	3140	515
859	3144	511
860	3147	508
861	3151	504
862	3155	500
863	3158	497
864	3162	493
865	3166	489
866	3169	486
867	3173	482
868	3176	478
869	3180	475
870	3183	471
871	3187	467
872	3190	464
873	3194	460
874	3198	456
875	3202	453
876	3205	449
877	3209	445
878	3212	442
879	3216	438
880	3219	434
881	3223	431
882	3226	427
883	3229	423
884	3233	420
885	3237	416
886	3241	412
887	3245	409
888	3248	405
889	3252	401
890	3255	398
891	3259	394
892	3262	390
893	3265	387
894	3269	383
895	3272	379
896	3276	376
897	3280	372
898	3284	368
899	3288	365
900	3291	361
901	3295	358
902	3298	354
903	3302	350
904	3305	346
905	3308	343
906	3312	339
907	3315	335
908	3319	332
909	3323	328
910	3327	325
911	3331	321
912	3334	317
913	3338	314
914	3341	310
915	3345	306
916	3348	303
917	3352	299
918	3355	295
919	3359	292
920	3362	288
921	3366	284
922	3371	281
923	3374	277
924	3378	273
925	3381	270
926	3384	266
927	3388	262
928	3391	259
929	3395	255
930	3398	251
931	3402	248
932	3405	244
933	3409	240
934	3413	237
935	3416	233
936	3420	229
937	3423	226
938	3426	222
939	3430	218
940	3433	215
941	3436	211
942	3440	207
943	3443	204
944	3447	200
945	3450	196
946	3455	193
947	3459	189
948	3462	186
949	3465	182
950	3469	178
951	3472	175
952	3476	171
953	3479	167
954	3483	164
955	3486	160
956	3490	156
957	3494	153
958	3498	149
959	3501	145
960	3505	142
961	3508	138
962	3512	134
963	3515	131
964	3519	127
965	3522	123
966	3526	120
967	3529	116
968	3533	113
969	3536	109
970	3541	105
971	3544	102
972	3548	98
973	3551	94
974	3555	91
975	3558	87
976	3562	83
977	3565	80
978	3569	76
979	3572	72
980	3576	69
981	3580	65
982	3584	61
983	3587	58
984	3591	54
985	3594	51
986	3598	47
987	3601	43
988	3605	40
989	3608	36
990	3611	32
991	3615	29
992	3619	25
993	3623	21
994	3627	18
995	3631	14
996	3634	10
997	3638	7
998	3641	3
999	3645	0
